Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
56,1/9/2024,يوني كافيه,UniCafe,داماس,بديل عن نسكافيه ,alternative,,,,
61,1/11/2024,حلوى - تمر رطب سكري,Sweet Tamr,طبيعي,يوجد العديد من تمر الرطب السكري وهو متوفر في جميع الدول ويعتبر في نفس اسعار الحلويات وهو من افخم انوا التمور. الكيلو يعادل ١٢٠ج ويمكن ان يقضي معك شهر فس الصباح مع القهوة,alternative,,,,
62,1/11/2024,كارليتو,Carlito,شركة التاج المنير للمواد الغذائية,بديل  دوريتوس,alternative,,,,
64,1/13/2024,مسواك,Miswak,Dabur,اسنان,alternative,,,,
65,1/14/2024,ماتركس,Matrix,شركة ضفاف النهرين,"بديل أردني للمشروبات الغازية (Pepsi, 7UP, Miranda)",alternative,,,,
66,1/15/2024,لينوفو,Lenovo,لينوفو هو اسم الشركة,"شركة صينية المنشأ
المصدر: https://www.lenovo.com/bd/en/lenovo/our-company/",alternative,,,,
67,1/16/2024,موباكو,Mobaco,Mobaco,"Mobaco is an Egyptian owned and run family operated business with roots dating back to almost a century ago. The brand was first established in 1974, in a small factory in Sudan Street with the idea of bridging the supply and demand gap for Egyptian made, high quality clothing. With the continuing success of the business, the company has grown to over 900 employees and expanded its operations to Bashtil, El Warraq, continuing to aspire towards excellence in quality, design and technology.

https://mobaco.com/about/",alternative,,,,
69,1/16/2024,Hk Design,Hk Design,Hk Design,"This is modest egyptian brand for women clothes
https://hkdesigns-eg.com/pages/career-opportunities

https://www.instagram.com/hk.designs.egy/
",alternative,,,,
70,1/16/2024,حجاب بوتيك,hijab boutique,Hijab Boutique,"https://www.instagram.com/hijabboutique_eg
/
  An egyptian clothing modest brand  for Hijabi women

https://www.hijab-boutique.com/pages/about-us

",alternative,,,,
75,1/17/2024,بيبسى,بيبسى,بيبسى,مقاطعة ,alternative,,,,
81,1/24/2024,بيتزا بوللز,pizza bulls,BOGA GIDA,بديل بيتزا بتركية تصنيع تركي محلي ٪100 ,alternative,,,,
82,1/25/2024,باتوس,patos,"Doğuş Çay ve Gıda Ürünleri Üretim, Pazarlama, İthalat ve İhracat A.Ş.,",منتج شيبس تركي ٪١٠٠ بديل للدوريتوس,alternative,,,,
85,1/28/2024,سباركل,Sparkle,ElTwaheed for Advanced Industries,Shampoo alternative ,alternative,,,,
87,1/29/2024,اتوم سبورتسوير,Atum sportswear ,Atum Egypt ,"شركة مصرية منتجة للملابس الرياضية و الأدوات الرياضية فتحت في ٢٠١٩
صاحب الشركة ايهاب عبد المنعم",alternative,,,,
89,1/29/2024,كرستال,Crystal,الشركة اليمنية لصناعة السمن والصابون,هذا بديل لشركات الصابون الملابس التي تدعم الكيان الصهيوني القذر,alternative,,,,
92,1/29/2024,كواليتي هوستنج,Quality hosting,Quality," بديل عربي عن سيرفر امازون 
الرابط :
https://www.qualiteyserver.com/",alternative,,,,
94,1/29/2024,سعيد,Said,Saida,منتج تونسي,alternative,,,,
97,1/29/2024,السلطان كامل,El Sultan Kamel,السلطان كامل,https://www.facebook.com/sultankamel.coffee/about,alternative,,,,
98,1/29/2024,بليس,Bless,Bless,بليس شركة مصرية اتعملت في ٢٠١٧ وبتعمل منتجات للشعر زي شامبو، بلسم ،زيوت ، وحاجاتها نضيفة استعملتها بنفسي ,alternative,,,,
108,1/29/2024,ڤولت,Volt,AJE,مشروب طاقة,alternative,,,,
130,1/29/2024,اي ام دي,AMD,AMD,هي شركه بديلة لانتيل في المعالجات وبديله لنفيديا في كروت الشاشة,alternative,,,,
131,1/29/2024,الدرة,Durra,شركة الدرة العالمية للصناعات الغذائية,"موقع الشركة : 
https://aldurra.com/#about

وهذا منشور دعمهم لفلسطين :
https://www.facebook.com/DurraEgypt/posts/pfbid02ZMCTvHUr5phtycDUJwvKhYH6Coj9Va6iqEHHQMxi43n4MuQwaGVPXkr9dCZr2HbDl
",alternative,,,,
134,1/29/2024,بييرتيوب,Peertube,Peertube,بديل قوي لليوتيوب,alternative,,,,
136,1/29/2024,نيوبايب,Newpip,Newpip,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
137,1/29/2024,ليبرتيوب,Libretube,Libretube,شاهد مقاطع اليوتيوب بدون اعلانات او تتبع من جوجل وكدا مش هنخليهم يستفادوا,alternative,,,,
140,1/29/2024,منفذ,Monafiz,Monafiz,منصة عمل حر عربية,alternative,,,,
141,1/29/2024,تاكسيدو,Tuxedo,Taxedo,شركة كمبيوترات بديله لديل واتش بي,alternative,,,,
143,1/29/2024,لينكس,Linux,Linux fundation,نظام تشغيل مفتوح المصدر بديل للويندوز وللماك,alternative,,,,
144,1/29/2024,تويست,Twist,Management gate,مشروب طاقه بديل ل ريدبول ,alternative,,,,
145,1/29/2024,أوه,O Eau,شركة النور للصناعة,مياه معدنية,alternative,,,,
146,1/29/2024,فولت,Volt,Aje group,مشروب طاقه بديل ل ريدبول / مونستر,alternative,,,,
151,1/30/2024,شوكلاته توديه,today chocolate ,today ,a jordanian company ,alternative,,,,
153,1/30/2024,دومتي,Domty,شركة الصناعات الغذائية العربية (دومتي),"دومتي شركة مصرية الأصل تشتهر بمنتجاتها العديد في مصر وأشهرها ""جبنة فيتا""",alternative,,,,
166,1/30/2024,بوكي (بوكي تيوب),Poke (PokeTube),Ashley,واجهة لموقع اليوتيوب خالية من الإعلانات والتعقب وبها روابط دعم لفلسطين 🇵🇸,alternative,,,,
167,1/30/2024,البركة,Elbraka,Elbraka,فراخ مقلية و ستربس بالاسكندرية,alternative,,,,
169,1/30/2024,مرسول,marssol,marssol,بديل موقع طلبات لتوصيل الطعام,alternative,,,,
171,1/30/2024,ريتش بيك,Rich Bake,ريتش بيك,"شركة المخابز الحديثة ""ريتش بيك"" هي شركة مساهمة مصرية تأسست في عام ١٩٩٧ كأول شركة مخابز أصلية في مصر تقدم منتجات المخبوزات المعبأة للأسواق المصرية. تأسست ريتش بيك على يد أصحابها أ/ خالد الصقر – م/ مدحت الهلالي – م/ عمرو الهلالي
وكانت تقدم مساعدات للفلسطينيين",alternative,,,,
177,1/30/2024,العالمية الحرة لتكنولوجيا المعلومات,Alalmiyalhura for information technology,العالمية الحرة لتكنولوجيا المعلومات,شركة مساهمة مصرية داعمة للقضية الفلسطينية متميزة في مجال ال (Software Solution - Marketing - Web and Mobile apps) ,alternative,,,,
178,1/30/2024,رويبة ,rouiba,NCA Rouiba,تمكنت NCA Rouiba من التمييز بين نفسها بفضل المنتجات عالية الجودة وبأسعار معقولة. ,alternative,,,,
179,1/30/2024,كارليتو,Carlito,Mansour Food Industries,بديل للدوريتوس,alternative,,,,
180,1/30/2024,حمود بوعلام ,Hammoud boalam,حمودبوعلام ,مشروب غازي جزائري الاصل منذ 1879 من قبل الاحتلال الملعون. طعمو تحفة وفيه اذواق كثيرة من فواكه و كولا او بدون سكر.,alternative,,,,
186,1/30/2024,سيليكتو,selecto,HAMOUD BOULAME,مشروب غازي,alternative,,,,
191,1/30/2024,كينزا,kinza,الجميل العالمية,مشروب غازي سعودي بديل لمنتجات بيبسي وكوكاكولا,alternative,,,,
197,1/30/2024,بن كيفك,Kefek,لا اعرف,"بن من إنتاج شركه مصريه
المنتج جديد لكنه بجوده كويسه جدا",alternative,,,,
198,1/30/2024,سيناي ,cynay.com,cynay.com,محرك بحث مصري داعم للقضية الفلسطينية,alternative,,,,
199,1/30/2024,سيناي ,cynay.com,cynay.com,محرك بحث مصري داعم للقضية الفلسطينية و بديل ل google.com,alternative,,,,
200,1/30/2024,شبسيكو,Chibseco,مصرية,شيبسي,alternative,,,,
202,1/31/2024,تولا,tola,ِِِِAlba pharma,منتج عناية بالشعر,alternative,,,,
204,1/31/2024,لينو,lino,lino oats,شوفان وسناكس,alternative,,,,
206,1/31/2024,يوني كافيه,Uni Cafe,داماس للصناعات الغذائية,https://www.damas-food.net,alternative,,,,
208,1/31/2024,شركة انفينيتي,INFINTY,infinity clinic pharma,IT PROVIDES VARIETY OF HAIR AND SKIN CARE PRODUCTS ,alternative,,,,
209,1/31/2024,رو افريكان,RAW AFRICAN,RAW AFRICAN,"IT MAKES SKIN AND HAIR CARE PRODUCTS LIKE SHAMPOOS, CONDITIONER, LEAVE IN, BODY BUTTERS, LOTIONS AND MORE",alternative,,,,
218,1/31/2024,حليب لبنيتا,labanita milk,labanita,منتج مصري محلي الصنع,alternative,,,,
221,1/31/2024,كوك دور,cook door ,الشركة الدولية للصناعات الغذائية ,"مطعم مصري تأسس سنة 1988 على يد عمرو السعيد (مدير مجلس الإدارة ؟) و أعلنت في صفحاتها على التواصل الاجتماعي عن التضامن مع أهلنا بفلسطين و بتقديم علم فلسطين و توفير صن توب كبديل (صن توب المدرج ضمن المقاطعة مع انه هناك اختلاف في ذلك)
",alternative,,,,
222,1/31/2024,بيتزا تايم,pizza time ,لم أتمكن من الوصول ,"من المطاعم المصرية التي أعلنت دعمها لألنا بفلسطين
صفحات التواصل الاجتماعي :
https://m.facebook.com/pizzatimeegypt
https://www.instagram.com/pizza_time_eg/",alternative,,,,
224,1/31/2024,إيفا,Eva ,Eva cosmetics ,تعتبر شركة إيفا من الشركات المصرية التي تأتي في المقام الأول كبديل للعديد من المنتجات المختلفة التي تدخل ضمن المقاطعة,alternative,,,,
229,1/31/2024,لينكس,Linux,غير محددة,نظام تشغيل حُر ومجاني غير محتكر من قبل أي جهة.,alternative,,,,
230,1/31/2024,ليبر أوفيس,LibreOffice,The Document Foundation,تطبيق حُر وغير مدفوع لا يُدار مِن قِبل شركة احتكارية وإنما منظمة غير ربحية.,alternative,,,,
232,1/31/2024,بيكتيڤ,Pectiv,Lenizer ,شركة إماراتية وعربية,alternative,,,,
233,1/31/2024,بي بم,Bebem, شركة حياة,"تعتبر بي بم أحد منتجات شركة حياة وهي منتج محلي متواجد في السوق منذ أكثر من 20 عام، ومنتشر في أكثر من 20 دولة ويعتبر منتج لطيف على البشرة، وينال رضا كثير من المستهلكين.

",alternative,,,,
235,2/1/2024,مسواك,miswak,Dabur,معجون اسنان,alternative,,,,
236,2/1/2024,حلاوة زيادة,Zeyada Halawa,Zeyada Food,"حلاوة مصرية 100% ادعم منتج بلدك جربها هتعجبك إن شاء الله , اللهم انصر الإسلام و أعز المسلمين, اللهم انصر إخواننا المستضعفين في غزة و امنحهم التوفيق و التمكين و العزة.",alternative,,,,
240,2/1/2024,إندومي ,Indome,Indofood,"منتج من نوع نودلز 
وشركة اندوفود شركة إندونيسية
https://en.m.wikipedia.org/wiki/Indofood",alternative,,,,
242,2/1/2024,مينز كللب,Men's Club,Men's Club,منتج مصري لصناعه الملابس بجوده عاليه ,alternative,,,,
244,2/28/2024,رابيت,rabbit,rabbit,شبة breadfast,alternative,,,,
255,2/28/2024,شان,Shaan,parkville,https://eparkville.com/collections/shaan,alternative,,,,
258,2/29/2024,ماكسي,MAXI,منتجات مياه مصر,مياه غازيه,alternative,,,,
260,2/29/2024,إندومي,Indome,Indofood ,شركة إندونيسية / نوعه: نودلز,alternative,,,,
266,3/1/2024,كيفك ,Kefk,الشركة المصرية للصناعات الغذائية كيفك ,كيفك قهوه وشاي وبن ونيسكافيه ,alternative,,,,
269,3/2/2024,نسكافيه ,Nescafe ,Nestle,H,alternative,,,,
273,3/3/2024,اندومي indomi,Indomie,Indofood,الشركة الأم في اندونيسيا,alternative,,,,
281,3/3/2024,قهوة بلاك ,BLK coffee,-,"  Local brand 
منتج محلي بديل للمقاطعة ",alternative,,,,
295,3/5/2024,اوه,o,EAU,مياه شرب,alternative,,,,
296,3/6/2024,سبيرو سباتس,Spiro spats,Spats,لا يدعم الكيان الصهيوني,alternative,,,,
311,3/11/2024,إيفا سموكرز,Eva Smokers,Eva Cosmetics,معجون أسنان,alternative,,,,
312,3/11/2024,فلورو,Fluoro,Eva Cosmetics,معجون أسنان للأطفال,alternative,,,,
314,3/12/2024,نوت ثري.كوم ,myNot3.com ,Not3,منتج محلي مصري ناشئ يدعم القضية الفلسطينية بكل قوة.,alternative,,,,
318,3/12/2024,إندومي,Indome ,Indofood ,منتج من شركة إندونيسية,alternative,,,,
319,3/12/2024,إندومي ,Indome ,Indofood ,شركة إندونيسية ,alternative,,,,
322,3/14/2024,شوفانو,Chovano,أراشي فودز,ما أعرفه هو أن شركة  -أراشي فودز- شركة مصرية وأنا أشتريه بشكل كبير فكنت أريد معرفة إذا ما كان مقاطعة أم لا وشكراً جزيلاً لكم .,alternative,,,,
329,3/15/2024, دي جي كير,DG CARE,Al Esraa pharmaceutical optima,معجون اسنان,alternative,,,,
332,3/17/2024,ماكسي,Maxi ,شركه المشروعبات الغازيه,بديل ,alternative,,,,
333,3/18/2024,مراد,Gddfhgf,بديل,"تلبب


نالر رة",alternative,,,,
334,3/18/2024,لبنيتا,Labanita,شركة منصور للأغذية,منتج بديل للزبادي و الألبان و الأجبان,alternative,,,,
335,3/18/2024,حليب بالهنا,Belhana,شركة منصور للتجارة و التوزيع,بديل للألبان الداعمة,alternative,,,,
337,3/20/2024,المسواك,meswak,dabur,معجون أسنان المسواك من شركة دابر ، شركة مصرية,alternative,,,,
347,3/29/2024,اوه,o,EAU, مياه معدنيه,alternative,,,,
353,3/31/2024,مواد غذائية,Alnaseam,Alnaseam ,شركة ليبية لإنتاج مشتقات الألبان (الحليب والزبادي ولبن العيران والأجبان والمثلجات ),alternative,,,,
354,3/31/2024,بن الفيومى,Alfayumi coffe,شركة بن الفيومى,منتج مصرى للقهوة,alternative,,,,
362,4/4/2024,حياة ,Hayat ,Mansour Group ,منتج مصري ١٠٠٪ وأعلن تضامنه مع القضية الفلسطينية ,alternative,,,,
364,4/4/2024,لينا كلين,Lina clean,Lina,منتج لغسيل الأواني و الصحون ,alternative,,,,
365,4/4/2024,سيليكتو,Selecto,حمود بوعلام Hamoud Boualem,مشروبات غازية,alternative,,,,
366,4/4/2024,سليم,Slim,Hamoud Boualem ,مشروب غازي ,alternative,,,,
367,4/4/2024,حمود كولا,Hamoud kola,Hamoud Boualem ,مشروب غازي,alternative,,,,
369,45387.96898,لونا,Luna lip therapy ,لونا ,مرطب شفاه لونا المعالج ,alternative,,,,
370,45389.69746,المنيوز ,elmenus ,elmenus,بديل طلبات,alternative,,,,
371,45389.69827,ويفر رولز,wafer rolls,Jamma ,بديل فلوتس,alternative,,,,
372,45389.82567,وير آب,Whereapp,whereapp ,بديل أوبر,alternative,,,,
374,45390.33874,دابر المسواك,MISWAK,شركة مصرية,https://shbabbek.com/show/228653,alternative,,,,
377,45391.13453,سباتس,spuds ,trop food,"منتج مصري
",alternative,,,,
387,4/15/2024,سيناي,cynay.com,Cynay ,محرك بحث مصري صنعه Mohamed Alm داعم للقضية الفلسطينية,alternative,,,,
388,4/16/2024,رشيدي الميزان,rasheedy elmezan,El Rashidi El Mizan,"تم تأسيسها سنة 1889 من قبل محمد حسين الرشيدي 
تاريخ الشركة من موقعها الرسمي : https://www.elrashidielmizan.net/en/content/our-history
ومصنع الشركة يقع في : القطعة 38و39 المنطقة الصناعية الثانية, السادس من اكتوبر, الجيزة
و دا لنك موقعه الجغرافي : https://maps.app.goo.gl/Ddoc8dA5qLTGfEyg6",alternative,,,,
389,4/16/2024,البوادي,elbawady,Harvest Foods,"شركة البوادي تابعة لشركة harvest foods كما تصرح علي صفحتها الرسمية علي فيسبوك : 
https://www.facebook.com/ElBawadiEg/
كما ان شركة harvest foods المذكورة هي شركة مصرية تأسست قبل عقدين من الزمان في سنة 1998 
https://www.harvestfoods.com.eg/ 
والشركة وان كانت -كما تزعم علي الاقل- تصدر منتجاتت الي اكثر من 20 دولة الا انها مصرية فيما يبدو 
وليس لي علم باسهمهم في البورصة او شركائهم ولكن لا يبدو ان هناك شراكة بينهم وبين شركة اجنبية والله اعلم",alternative,,,,
394,4/19/2024,هيمالايا معجون أسنان عشبي ,himalaya  herbal toothpaste,	Himalaya Drug Company,https://en.wikipedia.org/wiki/Himalaya_Wellness_Company,alternative,,,,
402,4/26/2024,مسواك,Miswak ,دابر المسواك,يعتبر هذ المعجون بديل لكلوز اب ,alternative,,,,
405,4/26/2024,دى جى كير,DG CARE,الإسراء فارماسيوتيكال أوبتيما,إنتاج مصرى 100%,alternative,,,,
408,4/28/2024,مسواك,miswak,دابر إنترناشيونال,مش مقاطعة,alternative,,,,
416,5/5/2024,آيس كوفى - هيلثى,Ice-Coffe Healthy,Healthy,هذا المنتج غير داعم . ,alternative,,,,
421,5/14/2024,سيناي,cynay.com,Mohamed ALM,"محرك بحث مصري داعم للقضية الفلسطينية 
cynay.com و يحترم خصوصية المستخدم 
linkedin : https://eg.linkedin.com/in/theonlyalm?trk=org-employees
instagram : https://www.instagram.com/cynay.official/",alternative,,,,
424,5/16/2024,أوه,Eau,شركة النور للصناعة,زجاجة ماء,alternative,,,,
429,45431.8165,بلند ,blend ,Blend coffee factory ,شركة مصرية بتعمل قهوة اسبريسو و نسكافيه و فلتر كوفي ,alternative,,,,
430,45431.81973,سيلاز ,Seelaz ,Seelaz ,شركة مصرية بتعمل بن تركي و قهوة اسبريسو و نسكافيه بأطعم ,alternative,,,,
