Original Index,Date,Name,English Name,Manufacturer,Details,Type,Reviewed,Alternate,Additional Info,Type Again
355,4/1/2024,لُ شا,Le chat,Henkel,"https://www.henkel.com/press-and-media/press-releases-and-kits/2021-01-07-henkel-invests-in-technology-start-up-feelit-1141594
تابع لشركة henkel التي لها فروع في إسرائيل ",boycott,,,,
356,4/2/2024,اورانج للإتصالات,Orange,اورانج الفرنسية,وهي شركة فرانس تليكوم SA سابقًا حيث أنها شركة تقدم خدمات المحمول والإنترنت. أنشئت العلامة في عام 1994 لصالح شبكة خدمات الهاتف المحمول في المملكة المتحدة التابعة لشركة هاتشيسون للاتصالات، وهي الشبكة التي قامت فرانس تيليكوم بشرائها وامتلاكها في أغسطس 2000. وفي 2006، تم تغيير اسم مقدم خدمات الإنترنت المعروف آنذاك باسم وانادو (واندوو) لتدخل تحت شعار أورنج هي الأخرى. كانت أورنج العلامة التجارية الموحدة لمعظم الخدمات التي كانت تقدمها فرانس تيليكوم، إلى أن تم تغيير علامة مجموعة فرانس تيليكوم بالكامل إلى أورنج. تم تأسيس أورنج فرنسا في العام 2005 ويقع مقرها الرئيسي في باريس، فرنسا.,boycott,,,,
358,4/2/2024,شاهد,shahid,Mbc,"قيام مجموعة (MBC) بتوقيع اتفاقية بين منصتها ""شاهد"" وشركة ""بارتنر"" الإسرائيلية.",boycott,,,,
359,4/2/2024,واتش ات,whatch it, المتحدة للخدمات الإعلامية,WATCH IT هي خدمة فيديو حسب الطلب و خدمة البث المباشر التي تخدم الجمهور العربي في جميع أنحاء العالم بتجربة مشاهدة استثنائية لأفضل المحتوى العربي في الشرق ,boycott,,,,
360,4/4/2024,مكرونة الملكة ,,صافولا ,مكرونة الملكة ,boycott,,,,
361,4/4/2024,بريل ازيس, Péril Isis ,Henkel ,شركة ألمانيا ,boycott,,,,
363,4/4/2024,test,test,test,testtesttest,boycott,,,,
368,45387.30997,ادوبي ,Adobe ,Adobe ,https://m.calcalistech.com/Article.aspx?guid=3903090,boycott,DONE,داعم غير مباشر,Glassbox Join Adobe Exchange Partner Program - Glassbox,تكنولوجيا
373,45390.32986,لوتس,lotus,lotus,شركة بلجيكية,boycott,,,,
376,45391.11578,بنادول,Panadol,GSK,"شركة مقرها في لندن (مش متأكدة إذا جنسيتها الأصلية بريطانية) لكنهم أعلنوا على موقعهم الرسمي بدعمهم لإسرائيل، تحديدًا ""ضحايا"" هجمات حماس على إسرائيل وتوفير الإسعافات الأولية والخدمات الطبية الطارئة في إسرائيل، رابط المقال بتاعهم على الموقع الرسمي:
https://www.gsk.com/en-gb/media/our-response-to-the-crisis-in-israel-and-gaza/",boycott,,,,
380,45392.89433,احمد تى ,Ahmed tea ,نسلا ,بريطانيه ,boycott,,,,
381,45393.52509,هونداي,Hyundai,Hyundai Motors,شاحنات البناء,boycott,,,,
382,45394.64033,كامينا,Kamena,Kamena,شركة مصرية مختصة بصنعة المنتجات الكيميائية من شامبو و صابون وتوابل ,boycott,,,,
384,45395.80526,دجاج كوكي,Koki,Americana Group,منتج مصنع من أمريكانا جروب,boycott,,,,
390,4/18/2024,دجاج كوكي,koki,Americana Group,تابع لشركة Americana ,boycott,,,,
392,4/18/2024,Vodafone,Vodafone,Vodafone,"قدمت شركة فودافون اعتذارًا بعد أن تلقى عملاؤها رسائل ترحيبية عند هبوطهم في الأراضي الفلسطينية المحتلة (إسرائيل)، تضمنت عبارة ""مرحبا بكم في فلسطين"".

وقال متحدث باسم الشركة إن رسائل الترحيب النصية مؤتمتة بالكامل"" وتم إرسالها عن طريق الخطأ، مضيفًا: ""نحن نعتذر عن أي إساءة أو ضغوط سببتها تلك الرسائل للإسرائيليين"".

الخبر من الجزيرة:
https://www.instagram.com/p/C55uLVsNZhk/",boycott,,,,
395,4/19/2024,aaa,aaaa,aaaaa,aaaaa,boycott,,,,
396,4/21/2024,كولد ستون كريمي,Cold stone creamy,MTY Food Group,شركة كندية والاولى عدم الشراء منهم,boycott,,,,
401,4/24/2024,جلاكسي,Glagsy,esraeel,من شركه اسرائيل ,boycott,,,,
406,4/28/2024,مطعم تيكا,Tika restaurant ,Americana group,تابع لشركة Americana group الداعمة للكيان الصهيوني و المالكة لعدة اسماء و مطاعم داعمة ايضا للكيان,boycott,,,,
410,5/2/2024,عصير راني,Rani,http://www.aujan.com,"Aujan Coca-Cola Beverages Company and Rani Refreshments were established following a partnership between The Coca-Cola Company and Aujan’s beverage business

برجاء مراجعة الخاص بالشركة (our history) ستجدون أن هناك شراكة منذ ٢٠١٢ مع كوكا كولا 

رجاءا إدراج كل منتجات الشركة تحت تصنيف (داعم)",boycott,,,,
414,5/5/2024,كارا تية, Krtyiy, شبسي,"اسرءىل
",boycott,,,,
420,5/13/2024,ديري ميلك,Dairy milk,Cadbury,من شركة cadbury لكن الشوكولاته معروفة باسم dairy milk اكثر فيجب ارفاقها,boycott,,,,
422,5/15/2024,الجليسرين,Glycerin ,Glycerin ,صنع في الهند ,boycott,,,,
427,45430.75632,مونين,MONIN,MONIN,لقد تعاقدت هذه الشركة مع الكيان الصهيوني,boycott,,,,
428,45431.81421,بونجورنو ,Bonjorno,نستله,تعتبر نستلة شركة مطبعة لها أسهم في شركة رجال أعمال إسرائيلين، ولديها مركز للأبحاث والتطوير مقره في مستوطنة سديروت التي حررها المجاهدون قبل فترة.,boycott,,,,
437,45439.82101,Degree,Degree Clinical protection,Unilever,الشركه الام المفروض مقاطعه لكن ده المنتج الطبي الوحيد ف مصر من النوع ده,boycott,,,,
438,45440.46715,بيك رولز,,Edita,معظم الأسهم أجنبية,boycott,,,,
439,45440.73341,بيك رولز,,اديتا,لأنها تدعم اسرائيل,boycott,,,,
441,45441.67979,تويست,Twist,Twist,مشروب طاقه,boycott,,,,
442,45442.88209,هوهوز,,أيدينا نفس شركة مولتو,راجعوا يا جدعان عاملين شغل كويس كملوا المعلومات صح بقى مش معقول,boycott,,,,
